JUDUL,KATEGORI,tokens,stopwords,stemmed
megawati ada orang mau ambil pdip aih gawat gile,Politik,"['megawati', 'ada', 'orang', 'mau', 'ambil', 'pdip', 'aih', 'gawat', 'gile']","['megawati', 'orang', 'ambil', 'pdip', 'aih', 'gawat', 'gile']",megawati orang ambil pdip aih gawat gile
politik yang luput dipahami,Politik,"['politik', 'yang', 'luput', 'dipahami']","['politik', 'luput', 'dipahami']",politik luput paham
pkb sebut prabowo pastikan akan hadiri muktamar,Politik,"['pkb', 'sebut', 'prabowo', 'pastikan', 'akan', 'hadiri', 'muktamar']","['pkb', 'prabowo', 'pastikan', 'hadiri', 'muktamar']",pkb prabowo pasti hadir muktamar
plt ketum golkar respons guyon airlangga ke bahlil soal kursi diambil,Politik,"['plt', 'ketum', 'golkar', 'respons', 'guyon', 'airlangga', 'ke', 'bahlil', 'soal', 'kursi', 'diambil']","['plt', 'ketum', 'golkar', 'respons', 'guyon', 'airlangga', 'bahlil', 'kursi', 'diambil']",plt tum golkar respons guyon airlangga bahlil kursi ambil
agk soal kabar bahlil didukung  dpd jadi ketum golkar insyaallah,Politik,"['agk', 'soal', 'kabar', 'bahlil', 'didukung', 'dpd', 'jadi', 'ketum', 'golkar', 'insyaallah']","['agk', 'kabar', 'bahlil', 'didukung', 'dpd', 'ketum', 'golkar', 'insyaallah']",agk kabar bahlil dukung dpd tum golkar insyaallah
agk tak maju pemilihan ketum golkar di munas bahlil calon tunggal,Politik,"['agk', 'tak', 'maju', 'pemilihan', 'ketum', 'golkar', 'di', 'munas', 'bahlil', 'calon', 'tunggal']","['agk', 'maju', 'pemilihan', 'ketum', 'golkar', 'munas', 'bahlil', 'calon', 'tunggal']",agk maju pilih tum golkar munas bahlil calon tunggal
persaingan trah darah biru  petugas partai,Politik,"['persaingan', 'trah', 'darah', 'biru', 'petugas', 'partai']","['persaingan', 'trah', 'darah', 'biru', 'petugas', 'partai']",saing trah darah biru tugas partai
ridwan kamil soal cawagubnya inisial s partainya kim plus plus,Politik,"['ridwan', 'kamil', 'soal', 'cawagubnya', 'inisial', 's', 'partainya', 'kim', 'plus', 'plus']","['ridwan', 'kamil', 'cawagubnya', 'inisial', 's', 'partainya', 'kim', 'plus', 'plus']",ridwan kamil cawagubnya inisial s partai kim plus plus
idrus sebut  dpd dukung bahlil ketum golkar adies dari dulu namanya ada,Politik,"['idrus', 'sebut', 'dpd', 'dukung', 'bahlil', 'ketum', 'golkar', 'adies', 'dari', 'dulu', 'namanya', 'ada']","['idrus', 'dpd', 'dukung', 'bahlil', 'ketum', 'golkar', 'adies', 'namanya']",idrus dpd dukung bahlil tum golkar adies nama
muslimat nu beri dukungan ke airin di pilkada banten,Politik,"['muslimat', 'nu', 'beri', 'dukungan', 'ke', 'airin', 'di', 'pilkada', 'banten']","['muslimat', 'nu', 'dukungan', 'airin', 'pilkada', 'banten']",muslimat nu dukung airin pilkada banten
ada anggaran daerah dipakai hibah politik jokowi padahal bisa buat rs,Politik,"['ada', 'anggaran', 'daerah', 'dipakai', 'hibah', 'politik', 'jokowi', 'padahal', 'bisa', 'buat', 'rs']","['anggaran', 'daerah', 'dipakai', 'hibah', 'politik', 'jokowi', 'rs']",anggar daerah pakai hibah politik jokowi rs
djarot pdip tantang pks di pilgub jakarta  berani nggak usung ahok,Politik,"['djarot', 'pdip', 'tantang', 'pks', 'di', 'pilgub', 'jakarta', 'berani', 'nggak', 'usung', 'ahok']","['djarot', 'pdip', 'tantang', 'pks', 'pilgub', 'jakarta', 'berani', 'nggak', 'usung', 'ahok']",djarot pdip tantang pks pilgub jakarta berani nggak usung ahok
pengakuan bahlil temui jokowijk hingga persahabatan dengan airlangga,Politik,"['pengakuan', 'bahlil', 'temui', 'jokowijk', 'hingga', 'persahabatan', 'dengan', 'airlangga']","['pengakuan', 'bahlil', 'temui', 'jokowijk', 'persahabatan', 'airlangga']",aku bahlil temu jokowijk sahabat airlangga
palagan baru jokowi vs pdip,Politik,"['palagan', 'baru', 'jokowi', 'vs', 'pdip']","['palagan', 'jokowi', 'vs', 'pdip']",palagan jokowi vs pdip
fahri hamzah minta ada introspeksi terkait peluang pks masuk kim plus,Politik,"['fahri', 'hamzah', 'minta', 'ada', 'introspeksi', 'terkait', 'peluang', 'pks', 'masuk', 'kim', 'plus']","['fahri', 'hamzah', 'introspeksi', 'terkait', 'peluang', 'pks', 'masuk', 'kim', 'plus']",fahri hamzah introspeksi kait peluang pks masuk kim plus
pkb ungkap usulan anies cagub awalnya mulus tapi cuaca berubah,Politik,"['pkb', 'ungkap', 'usulan', 'anies', 'cagub', 'awalnya', 'mulus', 'tapi', 'cuaca', 'berubah']","['pkb', 'usulan', 'anies', 'cagub', 'mulus', 'cuaca', 'berubah']",pkb usul anies cagub mulus cuaca ubah
ini isi vn lengkap anies dan ketua pks jakarta soal pilkada yang bocor,Politik,"['ini', 'isi', 'vn', 'lengkap', 'anies', 'dan', 'ketua', 'pks', 'jakarta', 'soal', 'pilkada', 'yang', 'bocor']","['isi', 'vn', 'lengkap', 'anies', 'ketua', 'pks', 'jakarta', 'pilkada', 'bocor']",isi vn lengkap anies ketua pks jakarta pilkada bocor
ace dorong pemilihan plt ketum golkar secara musyawarah mufakat,Politik,"['ace', 'dorong', 'pemilihan', 'plt', 'ketum', 'golkar', 'secara', 'musyawarah', 'mufakat']","['ace', 'dorong', 'pemilihan', 'plt', 'ketum', 'golkar', 'musyawarah', 'mufakat']",ace dorong pilih plt tum golkar musyawarah mufakat
bamsoet makan siang bareng paloh di nasdem tower ngaku hanya nostalgia,Politik,"['bamsoet', 'makan', 'siang', 'bareng', 'paloh', 'di', 'nasdem', 'tower', 'ngaku', 'hanya', 'nostalgia']","['bamsoet', 'makan', 'siang', 'bareng', 'paloh', 'nasdem', 'tower', 'ngaku', 'nostalgia']",bamsoet makan siang bareng paloh nasdem tower ngaku nostalgia
pks ungkit pernah tawari anies pakai jas putih tapi pilih netral,Politik,"['pks', 'ungkit', 'pernah', 'tawari', 'anies', 'pakai', 'jas', 'putih', 'tapi', 'pilih', 'netral']","['pks', 'ungkit', 'tawari', 'anies', 'pakai', 'jas', 'putih', 'pilih', 'netral']",pks ungkit tawar anies pakai jas putih pilih netral
surya paloh hormati airlangga yang mundur dari ketum golkar,Politik,"['surya', 'paloh', 'hormati', 'airlangga', 'yang', 'mundur', 'dari', 'ketum', 'golkar']","['surya', 'paloh', 'hormati', 'airlangga', 'mundur', 'ketum', 'golkar']",surya paloh hormat airlangga mundur tum golkar
daftar para waketum golkar yang bisa jadi plt ketum gantikan airlangga,Politik,"['daftar', 'para', 'waketum', 'golkar', 'yang', 'bisa', 'jadi', 'plt', 'ketum', 'gantikan', 'airlangga']","['daftar', 'waketum', 'golkar', 'plt', 'ketum', 'gantikan', 'airlangga']",daftar waketum golkar plt tum ganti airlangga
demokrat tak masalah suswono cawagub rk beliau mentan sby,Politik,"['demokrat', 'tak', 'masalah', 'suswono', 'cawagub', 'rk', 'beliau', 'mentan', 'sby']","['demokrat', 'suswono', 'cawagub', 'rk', 'beliau', 'mentan', 'sby']",demokrat suswono cawagub rk beliau tan sby
kagetnya anies baswedan setelah jubir pks bicara deadline pilkada,Politik,"['kagetnya', 'anies', 'baswedan', 'setelah', 'jubir', 'pks', 'bicara', 'deadline', 'pilkada']","['kagetnya', 'anies', 'baswedan', 'jubir', 'pks', 'bicara', 'deadline', 'pilkada']",kaget anies baswedan jubir pks bicara deadline pilkada
airlangga sampaikan permintaan maaf usai mundur ketum golkar,Politik,"['airlangga', 'sampaikan', 'permintaan', 'maaf', 'usai', 'mundur', 'ketum', 'golkar']","['airlangga', 'permintaan', 'maaf', 'mundur', 'ketum', 'golkar']",airlangga minta maaf mundur tum golkar
kebijakan  ekonomi politik oligarki eksploitasi sumber daya alam,Politik,"['kebijakan', 'ekonomi', 'politik', 'oligarki', 'eksploitasi', 'sumber', 'daya', 'alam']","['kebijakan', 'ekonomi', 'politik', 'oligarki', 'eksploitasi', 'sumber', 'daya', 'alam']",bijak ekonomi politik oligarki eksploitasi sumber daya alam
kemunculan mendadak spanduk kaesang  di jakarta,Politik,"['kemunculan', 'mendadak', 'spanduk', 'kaesang', 'di', 'jakarta']","['kemunculan', 'mendadak', 'spanduk', 'kaesang', 'jakarta']",muncul dadak spanduk kaesang jakarta
anies ungkap komunikasi dengan pdip lihat aja perkembangannya,Politik,"['anies', 'ungkap', 'komunikasi', 'dengan', 'pdip', 'lihat', 'aja', 'perkembangannya']","['anies', 'komunikasi', 'pdip', 'lihat', 'aja', 'perkembangannya']",anies komunikasi pdip lihat aja kembang
warga boleh kampanye kotak kosong di pilkada  ini kata ketua kpu,Politik,"['warga', 'boleh', 'kampanye', 'kotak', 'kosong', 'di', 'pilkada', 'ini', 'kata', 'ketua', 'kpu']","['warga', 'kampanye', 'kotak', 'kosong', 'pilkada', 'ketua', 'kpu']",warga kampanye kotak kosong pilkada ketua kpu
kpu soal potensi kotak kosong di pilkada  tunggu pendaftaran,Politik,"['kpu', 'soal', 'potensi', 'kotak', 'kosong', 'di', 'pilkada', 'tunggu', 'pendaftaran']","['kpu', 'potensi', 'kotak', 'kosong', 'pilkada', 'tunggu', 'pendaftaran']",kpu potensi kotak kosong pilkada tunggu daftar
gerindra resmi usung aspanwartono di pilkada tebo jambi,Politik,"['gerindra', 'resmi', 'usung', 'aspanwartono', 'di', 'pilkada', 'tebo', 'jambi']","['gerindra', 'resmi', 'usung', 'aspanwartono', 'pilkada', 'tebo', 'jambi']",gerindra resmi usung aspanwartono pilkada tebo jambi
ganjar dukung ahok maju pilkada jakarta dorong asesmen di pdip,Politik,"['ganjar', 'dukung', 'ahok', 'maju', 'pilkada', 'jakarta', 'dorong', 'asesmen', 'di', 'pdip']","['ganjar', 'dukung', 'ahok', 'maju', 'pilkada', 'jakarta', 'dorong', 'asesmen', 'pdip']",ganjar dukung ahok maju pilkada jakarta dorong asesmen pdip
anies soal pks buka opsi tinggalkannya kabar angin banyak sekali,Politik,"['anies', 'soal', 'pks', 'buka', 'opsi', 'tinggalkannya', 'kabar', 'angin', 'banyak', 'sekali']","['anies', 'pks', 'buka', 'opsi', 'tinggalkannya', 'kabar', 'angin']",anies pks buka opsi tinggal kabar angin
pdip soal kans dukung ridwan kamil kita lihat suara arus bawah,Politik,"['pdip', 'soal', 'kans', 'dukung', 'ridwan', 'kamil', 'kita', 'lihat', 'suara', 'arus', 'bawah']","['pdip', 'kans', 'dukung', 'ridwan', 'kamil', 'lihat', 'suara', 'arus']",pdip kans dukung ridwan kamil lihat suara arus
pkb akui komitmen dengan gerindra di jakarta kalau pdip bergabung boleh,Politik,"['pkb', 'akui', 'komitmen', 'dengan', 'gerindra', 'di', 'jakarta', 'kalau', 'pdip', 'bergabung', 'boleh']","['pkb', 'akui', 'komitmen', 'gerindra', 'jakarta', 'pdip', 'bergabung']",pkb aku komitmen gerindra jakarta pdip gabung
pdip segera umumkan rekomendasi calon kepala daerah gelombang pertama,Politik,"['pdip', 'segera', 'umumkan', 'rekomendasi', 'calon', 'kepala', 'daerah', 'gelombang', 'pertama']","['pdip', 'umumkan', 'rekomendasi', 'calon', 'kepala', 'daerah', 'gelombang']",pdip umum rekomendasi calon kepala daerah gelombang
buka pelatnas tim pilkada pdip hasto singgung agustus bulan keramat,Politik,"['buka', 'pelatnas', 'tim', 'pilkada', 'pdip', 'hasto', 'singgung', 'agustus', 'bulan', 'keramat']","['buka', 'pelatnas', 'tim', 'pilkada', 'pdip', 'hasto', 'singgung', 'agustus', 'keramat']",buka pelatnas tim pilkada pdip hasto singgung agustus keramat
dukung prabowogibran ratusan simpatisan pdip kabupaten bekasi mundur,Politik,"['dukung', 'prabowogibran', 'ratusan', 'simpatisan', 'pdip', 'kabupaten', 'bekasi', 'mundur']","['dukung', 'prabowogibran', 'ratusan', 'simpatisan', 'pdip', 'kabupaten', 'bekasi', 'mundur']",dukung prabowogibran ratus simpatisan pdip kabupaten bekas mundur
airlangga bantah isu penjegalan anies di pilgub jakarta,Politik,"['airlangga', 'bantah', 'isu', 'penjegalan', 'anies', 'di', 'pilgub', 'jakarta']","['airlangga', 'bantah', 'isu', 'penjegalan', 'anies', 'pilgub', 'jakarta']",airlangga bantah isu jegal anies pilgub jakarta
projo dukung  calon kepala daerah pilkada  ada aliong mus di malut,Politik,"['projo', 'dukung', 'calon', 'kepala', 'daerah', 'pilkada', 'ada', 'aliong', 'mus', 'di', 'malut']","['projo', 'dukung', 'calon', 'kepala', 'daerah', 'pilkada', 'aliong', 'mus', 'malut']",projo dukung calon kepala daerah pilkada aliong mus malut
muncul spanduk kaesang  di jakarta gibran doakan yang terbaik,Politik,"['muncul', 'spanduk', 'kaesang', 'di', 'jakarta', 'gibran', 'doakan', 'yang', 'terbaik']","['muncul', 'spanduk', 'kaesang', 'jakarta', 'gibran', 'doakan', 'terbaik']",muncul spanduk kaesang jakarta gibran doa baik
blusukan ke tangsel gibran dicurhati masalah kisbpjs lansia,Politik,"['blusukan', 'ke', 'tangsel', 'gibran', 'dicurhati', 'masalah', 'kisbpjs', 'lansia']","['blusukan', 'tangsel', 'gibran', 'dicurhati', 'kisbpjs', 'lansia']",blusukan tangsel gibran dicurhati kisbpjs lansia
ridwan kamil kalau saya ke jakarta akan cinta seisinya termasuk persija,Politik,"['ridwan', 'kamil', 'kalau', 'saya', 'ke', 'jakarta', 'akan', 'cinta', 'seisinya', 'termasuk', 'persija']","['ridwan', 'kamil', 'jakarta', 'cinta', 'seisinya', 'persija']",ridwan kamil jakarta cinta isi persija
dinamika pilgub jakarta pks siap tinggalkan anies cak imin temui prabowo,Politik,"['dinamika', 'pilgub', 'jakarta', 'pks', 'siap', 'tinggalkan', 'anies', 'cak', 'imin', 'temui', 'prabowo']","['dinamika', 'pilgub', 'jakarta', 'pks', 'tinggalkan', 'anies', 'cak', 'imin', 'temui', 'prabowo']",dinamika pilgub jakarta pks tinggal anies cak imin temu prabowo
pkb jakarta kami masih ajukan anies tolak sohibul iman,Politik,"['pkb', 'jakarta', 'kami', 'masih', 'ajukan', 'anies', 'tolak', 'sohibul', 'iman']","['pkb', 'jakarta', 'ajukan', 'anies', 'tolak', 'sohibul', 'iman']",pkb jakarta aju anies tolak sohibul iman
luhut minta seluruh kader golkar solid dukung adart munas,Politik,"['luhut', 'minta', 'seluruh', 'kader', 'golkar', 'solid', 'dukung', 'adart', 'munas']","['luhut', 'kader', 'golkar', 'solid', 'dukung', 'adart', 'munas']",luhut kader golkar solid dukung adart munas
muncul keberatan dari pkb soal nama cawagub anies dari pks,Politik,"['muncul', 'keberatan', 'dari', 'pkb', 'soal', 'nama', 'cawagub', 'anies', 'dari', 'pks']","['muncul', 'keberatan', 'pkb', 'nama', 'cawagub', 'anies', 'pks']",muncul berat pkb nama cawagub anies pks
pkb belum putuskan dukung anies keberatan cawagub sohibul iman,Politik,"['pkb', 'belum', 'putuskan', 'dukung', 'anies', 'keberatan', 'cawagub', 'sohibul', 'iman']","['pkb', 'putuskan', 'dukung', 'anies', 'keberatan', 'cawagub', 'sohibul', 'iman']",pkb putus dukung anies berat cawagub sohibul iman
airlangga lapor jokowi ekonomi kendal naik bukan karena ini dico otw semarang,Politik,"['airlangga', 'lapor', 'jokowi', 'ekonomi', 'kendal', 'naik', 'bukan', 'karena', 'ini', 'dico', 'otw', 'semarang']","['airlangga', 'lapor', 'jokowi', 'ekonomi', 'kendal', 'dico', 'otw', 'semarang']",airlangga lapor jokowi ekonomi kendal dico otw semarang
peta sementara kandidat kuat di pilgub jakarta jabar jateng hingga sumut,Politik,"['peta', 'sementara', 'kandidat', 'kuat', 'di', 'pilgub', 'jakarta', 'jabar', 'jateng', 'hingga', 'sumut']","['peta', 'kandidat', 'kuat', 'pilgub', 'jakarta', 'jabar', 'jateng', 'sumut']",peta kandidat kuat pilgub jakarta jabar jateng sumut
said pdip komunikasi intens dengan elite kim plus soal pilgub jakarta,Politik,"['said', 'pdip', 'komunikasi', 'intens', 'dengan', 'elite', 'kim', 'plus', 'soal', 'pilgub', 'jakarta']","['said', 'pdip', 'komunikasi', 'intens', 'elite', 'kim', 'plus', 'pilgub', 'jakarta']",said pdip komunikasi intens elite kim plus pilgub jakarta
seteru tak kunjung padam pkb vs pbnu,Politik,"['seteru', 'tak', 'kunjung', 'padam', 'pkb', 'vs', 'pbnu']","['seteru', 'kunjung', 'padam', 'pkb', 'vs', 'pbnu']",seteru kunjung padam pkb vs pbnu
cak imin kalau sudah pilkada semua sama tak ada kim tak ada jong un,Politik,"['cak', 'imin', 'kalau', 'sudah', 'pilkada', 'semua', 'sama', 'tak', 'ada', 'kim', 'tak', 'ada', 'jong', 'un']","['cak', 'imin', 'pilkada', 'kim', 'jong', 'un']",cak imin pilkada kim jong un
blakblakan megawati bilang baikbaik saja dengan jokowi,Politik,"['blakblakan', 'megawati', 'bilang', 'baikbaik', 'saja', 'dengan', 'jokowi']","['blakblakan', 'megawati', 'bilang', 'baikbaik', 'jokowi']",blakblakan megawati bilang baikbaik jokowi
megawati minta pilkada  tak ada tsm biarin jalan aja deh,Politik,"['megawati', 'minta', 'pilkada', 'tak', 'ada', 'tsm', 'biarin', 'jalan', 'aja', 'deh']","['megawati', 'pilkada', 'tsm', 'biarin', 'jalan', 'aja', 'deh']",megawati pilkada tsm biarin jalan aja deh
musabab seteru pkbpbnu,Politik,"['musabab', 'seteru', 'pkbpbnu']","['musabab', 'seteru', 'pkbpbnu']",musabab seteru pkbpbnu
gerindra ungkap cawagub dedi mulyadi di jabar dari golkar,Politik,"['gerindra', 'ungkap', 'cawagub', 'dedi', 'mulyadi', 'di', 'jabar', 'dari', 'golkar']","['gerindra', 'cawagub', 'dedi', 'mulyadi', 'jabar', 'golkar']",gerindra cawagub dedi mulyadi jabar golkar
nasdem gabung kim plus di jakarta gerindra plusnya lebih dari ,Politik,"['nasdem', 'gabung', 'kim', 'plus', 'di', 'jakarta', 'gerindra', 'plusnya', 'lebih', 'dari']","['nasdem', 'gabung', 'kim', 'plus', 'jakarta', 'gerindra', 'plusnya']",nasdem gabung kim plus jakarta gerindra plus
gerindra insyaallah kim plus muncul nama ridwan kamil untuk jakarta,Politik,"['gerindra', 'insyaallah', 'kim', 'plus', 'muncul', 'nama', 'ridwan', 'kamil', 'untuk', 'jakarta']","['gerindra', 'insyaallah', 'kim', 'plus', 'muncul', 'nama', 'ridwan', 'kamil', 'jakarta']",gerindra insyaallah kim plus muncul nama ridwan kamil jakarta
dannyazhar maju pilgub  pakai akronim dia usung jargon save sulsel,Politik,"['dannyazhar', 'maju', 'pilgub', 'pakai', 'akronim', 'dia', 'usung', 'jargon', 'save', 'sulsel']","['dannyazhar', 'maju', 'pilgub', 'pakai', 'akronim', 'usung', 'jargon', 'save', 'sulsel']",dannyazhar maju pilgub pakai akronim usung jargon save sulsel
psi soal ridwan kamil otw jakarta kandidat cakap diusung golkar mantap,Politik,"['psi', 'soal', 'ridwan', 'kamil', 'otw', 'jakarta', 'kandidat', 'cakap', 'diusung', 'golkar', 'mantap']","['psi', 'ridwan', 'kamil', 'otw', 'jakarta', 'kandidat', 'cakap', 'diusung', 'golkar', 'mantap']",psi ridwan kamil otw jakarta kandidat cakap usung golkar mantap
sambut rk di jakarta relawan optimistis anies menang karena rekam jejak,Politik,"['sambut', 'rk', 'di', 'jakarta', 'relawan', 'optimistis', 'anies', 'menang', 'karena', 'rekam', 'jejak']","['sambut', 'rk', 'jakarta', 'relawan', 'optimistis', 'anies', 'menang', 'rekam', 'jejak']",sambut rk jakarta rawan optimistis anies menang rekam jejak
analisis bos ppi soal ridwan kamil otw jakarta jadi penantang anies,Politik,"['analisis', 'bos', 'ppi', 'soal', 'ridwan', 'kamil', 'otw', 'jakarta', 'jadi', 'penantang', 'anies']","['analisis', 'bos', 'ppi', 'ridwan', 'kamil', 'otw', 'jakarta', 'penantang', 'anies']",analisis bos ppi ridwan kamil otw jakarta tantang anies
ridwan kamil otw jakarta pkb santai ogah terburuburu,Politik,"['ridwan', 'kamil', 'otw', 'jakarta', 'pkb', 'santai', 'ogah', 'terburuburu']","['ridwan', 'kamil', 'otw', 'jakarta', 'pkb', 'santai', 'ogah', 'terburuburu']",ridwan kamil otw jakarta pkb santai ogah terburuburu
 rekomendasi drama korea agustus  cocok ditonton saat liburan,Politik,"['rekomendasi', 'drama', 'korea', 'agustus', 'cocok', 'ditonton', 'saat', 'liburan']","['rekomendasi', 'drama', 'korea', 'agustus', 'cocok', 'ditonton', 'liburan']",rekomendasi drama korea agustus cocok tonton libur
projo pertanyakan pengkritik permintaan maaf jokowi anda sehat,Politik,"['projo', 'pertanyakan', 'pengkritik', 'permintaan', 'maaf', 'jokowi', 'anda', 'sehat']","['projo', 'pengkritik', 'permintaan', 'maaf', 'jokowi', 'sehat']",projo kritik minta maaf jokowi sehat
dukung prabowogibran ribuan kadersimpatisan di subang mundur dari pdip,Politik,"['dukung', 'prabowogibran', 'ribuan', 'kadersimpatisan', 'di', 'subang', 'mundur', 'dari', 'pdip']","['dukung', 'prabowogibran', 'ribuan', 'kadersimpatisan', 'subang', 'mundur', 'pdip']",dukung prabowogibran ribu kadersimpatisan subang mundur pdip
nasdem gelar diskusi jelang kongres bahas tata kelola pemerintahan,Politik,"['nasdem', 'gelar', 'diskusi', 'jelang', 'kongres', 'bahas', 'tata', 'kelola', 'pemerintahan']","['nasdem', 'gelar', 'diskusi', 'jelang', 'kongres', 'bahas', 'tata', 'kelola', 'pemerintahan']",nasdem gelar diskusi jelang kongres bahas tata kelola perintah
kaesang beri rekomendasi ke  cakada  sambil main bulu tangkis,Politik,"['kaesang', 'beri', 'rekomendasi', 'ke', 'cakada', 'sambil', 'main', 'bulu', 'tangkis']","['kaesang', 'rekomendasi', 'cakada', 'main', 'bulu', 'tangkis']",kaesang rekomendasi cakada main bulu tangkis
nasdem soal jokowi minta maaf artinya sadar tidak sempurna,Politik,"['nasdem', 'soal', 'jokowi', 'minta', 'maaf', 'artinya', 'sadar', 'tidak', 'sempurna']","['nasdem', 'jokowi', 'maaf', 'sadar', 'sempurna']",nasdem jokowi maaf sadar sempurna
waketum nasdem sebut tak perlu kim plus koalisi harusnya bubar usai pilpres,Politik,"['waketum', 'nasdem', 'sebut', 'tak', 'perlu', 'kim', 'plus', 'koalisi', 'harusnya', 'bubar', 'usai', 'pilpres']","['waketum', 'nasdem', 'kim', 'plus', 'koalisi', 'bubar', 'pilpres']",waketum nasdem kim plus koalisi bubar pilpres
rancangan pkpu relawan wajib laporkan dana kampanye pilkada,Politik,"['rancangan', 'pkpu', 'relawan', 'wajib', 'laporkan', 'dana', 'kampanye', 'pilkada']","['rancangan', 'pkpu', 'relawan', 'wajib', 'laporkan', 'dana', 'kampanye', 'pilkada']",rancang pkpu rawan wajib lapor dana kampanye pilkada
rancangan pkpu debat paslon pilkada  akan digelar  kali,Politik,"['rancangan', 'pkpu', 'debat', 'paslon', 'pilkada', 'akan', 'digelar', 'kali']","['rancangan', 'pkpu', 'debat', 'paslon', 'pilkada', 'digelar', 'kali']",rancang pkpu debat paslon pilkada gelar kali
waketum gerindra bela jokowi minta maaf ke rakyat jubir pdip sakit hati,Politik,"['waketum', 'gerindra', 'bela', 'jokowi', 'minta', 'maaf', 'ke', 'rakyat', 'jubir', 'pdip', 'sakit', 'hati']","['waketum', 'gerindra', 'bela', 'jokowi', 'maaf', 'rakyat', 'jubir', 'pdip', 'sakit', 'hati']",waketum gerindra bela jokowi maaf rakyat jubir pdip sakit hati
pkb maklumi jokowi minta maaf tapi rakyat mencatat,Politik,"['pkb', 'maklumi', 'jokowi', 'minta', 'maaf', 'tapi', 'rakyat', 'mencatat']","['pkb', 'maklumi', 'jokowi', 'maaf', 'rakyat', 'mencatat']",pkb maklum jokowi maaf rakyat catat
ngabalin bantah mega soal kpk diobrakabrik kekuasaan bisa timbul fitnah,Politik,"['ngabalin', 'bantah', 'mega', 'soal', 'kpk', 'diobrakabrik', 'kekuasaan', 'bisa', 'timbul', 'fitnah']","['ngabalin', 'bantah', 'mega', 'kpk', 'diobrakabrik', 'kekuasaan', 'timbul', 'fitnah']",ngabalin bantah mega kpk diobrakabrik kuasa timbul fitnah
pdip anggap maaf jokowi ke rakyat terlambat harap oktober tak terasa lama,Politik,"['pdip', 'anggap', 'maaf', 'jokowi', 'ke', 'rakyat', 'terlambat', 'harap', 'oktober', 'tak', 'terasa', 'lama']","['pdip', 'anggap', 'maaf', 'jokowi', 'rakyat', 'terlambat', 'harap', 'oktober']",pdip anggap maaf jokowi rakyat lambat harap oktober
ancangancang kim plus di  pilkada pulau jawa,Politik,"['ancangancang', 'kim', 'plus', 'di', 'pilkada', 'pulau', 'jawa']","['ancangancang', 'kim', 'plus', 'pilkada', 'pulau', 'jawa']",ancangancang kim plus pilkada pulau jawa
masuk bursa pilgub jatim marzuki mustamar bergantung dawuh kiai,Politik,"['masuk', 'bursa', 'pilgub', 'jatim', 'marzuki', 'mustamar', 'bergantung', 'dawuh', 'kiai']","['masuk', 'bursa', 'pilgub', 'jatim', 'marzuki', 'mustamar', 'bergantung', 'dawuh', 'kiai']",masuk bursa pilgub jatim marzuki mustamar gantung dawuh kiai
kamala harris jawab tudingan trump soal ras india atau kulit hitam,Politik,"['kamala', 'harris', 'jawab', 'tudingan', 'trump', 'soal', 'ras', 'india', 'atau', 'kulit', 'hitam']","['kamala', 'harris', 'tudingan', 'trump', 'ras', 'india', 'kulit', 'hitam']",kamala harris tuding trump ras india kulit hitam
gerindra soal peluang sandiaga di pilgub jakarta kami usung kader internal,Politik,"['gerindra', 'soal', 'peluang', 'sandiaga', 'di', 'pilgub', 'jakarta', 'kami', 'usung', 'kader', 'internal']","['gerindra', 'peluang', 'sandiaga', 'pilgub', 'jakarta', 'usung', 'kader', 'internal']",gerindra peluang sandiaga pilgub jakarta usung kader internal
mardiono sandi jadi wakil anies baru  tahun mundur masa balik lagi,Politik,"['mardiono', 'sandi', 'jadi', 'wakil', 'anies', 'baru', 'tahun', 'mundur', 'masa', 'balik', 'lagi']","['mardiono', 'sandi', 'wakil', 'anies', 'mundur']",mardiono sandi wakil anies mundur
reuni singkat aniessandi,Politik,"['reuni', 'singkat', 'aniessandi']","['reuni', 'singkat', 'aniessandi']",reuni singkat aniessandi
mk akan gelar rph bahas sidang sengketa ulang hasil pileg,Politik,"['mk', 'akan', 'gelar', 'rph', 'bahas', 'sidang', 'sengketa', 'ulang', 'hasil', 'pileg']","['mk', 'gelar', 'rph', 'bahas', 'sidang', 'sengketa', 'ulang', 'hasil', 'pileg']",mk gelar rph bahas sidang sengketa ulang hasil pileg
tampak akrab anies ungkap obrolannya dengan sandiaga uno,Politik,"['tampak', 'akrab', 'anies', 'ungkap', 'obrolannya', 'dengan', 'sandiaga', 'uno']","['akrab', 'anies', 'obrolannya', 'sandiaga', 'uno']",akrab anies obrol sandiaga uno
anies respons peluang pdippkb bersatu di pilgub jakarta lawan aman,Politik,"['anies', 'respons', 'peluang', 'pdippkb', 'bersatu', 'di', 'pilgub', 'jakarta', 'lawan', 'aman']","['anies', 'respons', 'peluang', 'pdippkb', 'bersatu', 'pilgub', 'jakarta', 'lawan', 'aman']",anies respons peluang pdippkb satu pilgub jakarta lawan aman
nasdem soal sahroni bicara mungkin tak daftarkan anies kita jangan diadu,Politik,"['nasdem', 'soal', 'sahroni', 'bicara', 'mungkin', 'tak', 'daftarkan', 'anies', 'kita', 'jangan', 'diadu']","['nasdem', 'sahroni', 'bicara', 'daftarkan', 'anies', 'diadu']",nasdem sahroni bicara daftar anies adu
